Complexity,Loss,Equation
1,0.060612418,"6.798015e-8"
3,0.056986168,"(-0.06022381 * gamma_t)"
5,0.053133506,"((0.030166773 * a_sway) * gamma_t_1)"
7,0.034194887,"((0.066231355 * a_sway) * (gamma_t + dgamma_t_1))"
8,0.0341948,"((sin(0.066231355) * a_sway) * (gamma_t + dgamma_t_1))"
9,0.032239705,"((0.078851745 * a_sway) * ((gamma_t_1 / 1.3631709) + dgamma_t_2))"
11,0.030296428,"(((a_sway * a_sway) * (dgamma_t_2 + (gamma_t_2 + -0.9950877))) * -0.011256391)"
13,0.02675922,"((0.078851745 * a_sway) * (dgamma_t_2 - (((0.054850426 * a_sway) - 0.62311345) * gamma_t_2)))"
15,0.024180258,"((0.078851745 * a_sway) * (dgamma_t_2 - (((0.054850426 * a_sway) - 0.62311345) * (gamma_t_2 - 0.53433704))))"
16,0.023803748,"(sin(0.078851745 * a_sway) * (dgamma_t_2 - (((0.078851745 * a_sway) - 0.52368104) * (gamma_t_2 + -0.75867957))))"
17,0.023467826,"(sin(sin(0.078851745 * a_sway)) * (dgamma_t_2 - (((0.078851745 * a_sway) - 0.52368104) * (gamma_t_2 + -0.75867957))))"
18,0.023375796,"(sin(sin(sin(0.078851745 * a_sway))) * (dgamma_t_2 - (((0.078851745 * a_sway) - 0.52368104) * (gamma_t_2 + -0.75867957))))"
19,0.023258317,"(sin(sin(0.078851745 * a_sway)) * ((dgamma_t_2 * 0.8604795) - (((0.078851745 * a_sway) - 0.52368104) * (gamma_t_2 + -0.75867957))))"
20,0.022743134,"(sin(sin(0.078851745 * (a_sway + -0.19869846))) * (dgamma_t_2 - ((sin(0.078851745 * a_sway) - 0.52368104) * (gamma_t_2 + -0.75867957))))"
24,0.0226832,"(sin(0.078851745 * (a_sway - 0.22964264)) * ((dgamma_t_2 * 0.8604795) - ((sin(sin(sin(sin(0.078851745) * a_sway))) - 0.52368104) * (gamma_t_2 + -0.75867957))))"
25,0.02265126,"(sin(0.078851745 * ((a_sway * 0.9210348) + -0.23321225)) * ((dgamma_t_2 + -0.051412772) - (((sin(0.078851745) * a_sway) - 0.52368104) * ((gamma_t_2 + -0.75867957) + -0.051412772))))"
28,0.022568738,"(sin(sin(0.078851745 * ((a_sway * 0.9210348) + -0.23321225))) * ((dgamma_t_2 + -0.051412772) - (((sin(0.078851745) * a_sway) - 0.52368104) * ((gamma_t_2 + -0.75867957) + (-0.051412772 * 0.96420324)))))"
30,0.02238362,"((0.078851745 * (a_sway + -0.15853935)) * (((((gamma_t_1 / 1.8864499) + (dgamma_t_2 - ((0.078851745 * a_sway) * (((gamma_t - 0.11324161) + -0.87981266) - sin(dgamma_t))))) * 0.721507) + -0.09105626) * 1.141563))"
