Complexity,Loss,Equation
1,0.005294113,"-1.0531277e-8"
3,0.0034289893,"(x3 * 0.043187074)"
4,0.0032842872,"(square(x3) * 0.020651916)"
5,0.0030400679,"(square(square(x3)) * 0.0030921493)"
6,0.0027291102,"((square(x3) - x8) * 0.025821643)"
7,0.002210846,"((square(x3) - abs(x8)) * 0.031740706)"
8,0.0014259267,"(0.039812624 * (x3 - (x8 * cos(x3))))"
9,0.0014225024,"(square(-0.20262899) * (x3 - (x8 * cos(x3))))"
10,0.0011545083,"(square(0.24126229) * (tanh(x2) - (x8 * cos(x3))))"
12,0.0011382386,"(square(0.24126229) * ((tanh(x2) - (x8 * cos(x3))) + -0.043914218))"
14,0.0010800508,"(square(-0.21684967) * (x3 - ((x8 * cos(x3)) + tanh(x8 - -0.6133235))))"
15,0.0010461208,"(tanh(square(-0.21684967)) * (x3 - ((x8 * cos(x3)) + tanh(x8 + 0.474449))))"
16,0.0010454782,"tanh(square(-0.21684967) * (x3 - ((x8 * cos(abs(x3))) + tanh(x8 + 0.474449))))"
17,0.0010222015,"sin(square(0.24126229) * (tanh(x2 * abs(sin(0.6746397 - x2))) - (x8 * cos(x3))))"
22,0.0010164323,"tanh(tanh(square(tanh(-0.16839004)) * (x3 - (((x8 + x8) + (tanh(abs(-0.16839004)) - -0.4236595)) * (cos(x3) - -0.18420236)))))"
