Time,Theta_Actual,Theta_Predicted,Gamma_Actual,Gamma_Predicted
14.39,-0.0010689991965375,-0.013723147834348508,-0.0676667694400916,-0.013723147834348508
14.4,-0.0011132022462682,-0.012731493882213521,-0.0676300733043115,-0.012731493882213521
14.41,-0.0010938543215308,-0.01123266547415484,-0.0677391549339081,-0.01123266547415484
14.42,-0.0011904299807071,-0.0090999841588277,-0.0677098853613186,-0.0090999841588277
14.43,-0.0011435384517146,-0.006867020717986925,-0.0676946810878615,-0.006867020717986925
14.44,-0.0012253716239795,-0.004436826596719411,-0.0676617494587422,-0.004436826596719411
14.45,-0.0013437053116383,-0.0022057355555922843,-0.0676525293724086,-0.0022057355555922843
14.46,-0.0013130068695656,-0.00037550350857785617,-0.0677528025673703,-0.00037550350857785617
14.47,-0.0014448285171178,0.0008880331724573885,-0.0675618387342732,0.0008880331724573885
14.48,-0.0013648836014619,0.0014944017669399137,-0.0676229941208797,0.0014944017669399137
14.49,-0.0015149434167016,0.001446949234770404,-0.0675403497752342,0.001446949234770404
14.5,-0.0014581679533117,0.0008363860611458208,-0.0676050535003145,0.0008363860611458208
14.51,-0.001466862483822,-0.00021219529078711843,-0.0676473470358614,-0.00021219529078711843
14.52,-0.0014221379307672,-0.0015887569881051673,-0.0676390970859317,-0.0015887569881051673
14.53,-0.0014261595884705,-0.003177356427893928,-0.0676873799485572,-0.003177356427893928
14.54,-0.0014649419301991,-0.004752162088197964,-0.067631786835651,-0.004752162088197964
14.55,-0.0014550137811764,-0.006242160469704005,-0.0676321898935795,-0.006242160469704005
14.56,-0.0013285727175421,-0.006350206793966834,-0.0674733142364905,-0.006350206793966834
14.57,-0.0013449671545914,-0.0061960345618250826,-0.0674462251673481,-0.0061960345618250826
14.58,-0.001331871800928,-0.006043307880677081,-0.0675210837863276,-0.006043307880677081
14.59,-0.0011829647601719,-0.005796537234370007,-0.0675098949826618,-0.005796537234370007
14.6,-0.0011631907754475,-0.005734143468407511,-0.067652535788157,-0.005734143468407511
14.61,-0.0012123052560736,-0.005032180639527536,-0.0675741046263053,-0.005032180639527536
14.62,-0.0011644717840631,-0.005468779561763438,-0.0676472298845108,-0.005468779561763438
14.63,-0.0012293778853974,-0.005889229804258416,-0.0675680752181157,-0.005889229804258416
14.64,-0.0011669137922302,-0.006130626190372655,-0.0676839746312125,-0.006130626190372655
14.65,-0.0011546835664862,-0.0061319459595386705,-0.0676783252127501,-0.0061319459595386705
14.66,-0.0012104267722584,-0.005822812811634569,-0.0676113998084117,-0.005822812811634569
14.67,-0.001290269477655,-0.004842840988326068,-0.0674822742745342,-0.004842840988326068
14.68,-0.0013536129189322,-0.004002429154493486,-0.0675158796925026,-0.004002429154493486
14.69,-0.0013230377784255,-0.0031757577964261832,-0.0675392412257828,-0.0031757577964261832
14.7,-0.0013666028303572,-0.0026836840026791993,-0.0673965484618089,-0.0026836840026791993
14.71,-0.0014171227355782,-0.002464778604559615,-0.0674584953681206,-0.002464778604559615
14.72,-0.0015966612070858,-0.002553749948803797,-0.0674467169494542,-0.002553749948803797
14.73,-0.0016011806718583,-0.00280615101796065,-0.0674925722939019,-0.00280615101796065
14.74,-0.001634286926387,-0.002925112986819474,-0.0673305820712336,-0.002925112986819474
14.75,-0.0017088614487328,-0.0031945520470168035,-0.0674199389388984,-0.0031945520470168035
14.76,-0.0018085960416878,-0.003599791634051313,-0.0673196994482723,-0.003599791634051313
14.77,-0.0018933993557603,-0.004040950505129551,-0.0674141229570359,-0.004040950505129551
14.78,-0.0019045409926003,-0.00449530854856605,-0.0674461611057894,-0.00449530854856605
14.79,-0.0019667578399385,-0.004011713529155938,-0.0674013924971247,-0.004011713529155938
14.8,-0.0019455992908516,-0.003654071429514044,-0.0673742613908276,-0.003654071429514044
14.81,-0.0020487633290892,-0.0034557363866143526,-0.0672720377592912,-0.0034557363866143526
14.82,-0.0019531991800127,-0.0032932657148665515,-0.0674385211100263,-0.0032932657148665515
14.83,-0.0020386062468887,-0.003232864783711889,-0.0673483843783881,-0.003232864783711889
14.84,-0.0019707995855795,-0.00316380944366201,-0.0673056210428224,-0.00316380944366201
14.85,-0.0018791481787766,-0.0031983544241355917,-0.067332101034968,-0.0031983544241355917
14.86,-0.0018229809275777,-0.0032115921388132275,-0.0673289013848884,-0.0032115921388132275
14.87,-0.00192625053718,-0.0034328629600211824,-0.0673289062728281,-0.0034328629600211824
14.88,-0.0018368437241224,-0.0036320886853226757,-0.0673639396138936,-0.0036320886853226757
14.89,-0.0017767790536525,-0.003770543107653821,-0.0673733140579932,-0.003770543107653821
14.9,-0.0017926093936978,-0.003979815052079668,-0.0672994510504169,-0.003979815052079668
14.91,-0.0018429598645017,-0.004141088851216928,-0.0672992017176666,-0.004141088851216928
14.92,-0.0017513632341416,-0.004258844877810718,-0.0673188777742932,-0.004258844877810718
14.93,-0.0017053482964438,-0.004344436857714077,-0.0673266644684642,-0.004344436857714077
14.94,-0.0016474745264468,-0.00434959172115525,-0.0674037696671564,-0.00434959172115525
14.95,-0.0016433713298062,-0.004329256899115286,-0.0674036254694314,-0.004329256899115286
