complexity,loss,equation,score,sympy_format,lambda_format
16,0.0001930827,(((x3 * -0.0005326251) - (x12 + (x12 + 0.33620253))) * sqrt(x15 + 0.10989557)) - x13,0.0016276140267967355,-x13 + sqrt(x15 + 0.10989557)*(-2*x12 - 0.0005326251*x3 - 0.33620253),PySRFunction(X=>-x13 + sqrt(x15 + 0.10989557)*(-2*x12 - 0.0005326251*x3 - 0.33620253))
17,0.00018419992,((((x3 * -0.00036848616) - (0.19963051 + x12)) * (x13 + 0.24545796)) * (1.6447257 - x11)) - x13,0.04709690502483388,-x13 + (1.6447257 - x11)*(x13 + 0.24545796)*(x3*(-0.00036848616) - (x12 + 0.19963051)),PySRFunction(X=>-x13 + (1.6447257 - x11)*(x13 + 0.24545796)*(x3*(-0.00036848616) - (x12 + 0.19963051)))
19,0.0001822269,((1.063026 - x11) * (((x3 * -0.00055063004) - (x12 + (x12 + 0.34465602))) * (0.21378407 + x15))) - x13,0.005384537813167853,-x13 + (1.063026 - x11)*(x15 + 0.21378407)*(x3*(-0.00055063004) - (x12 + x12 + 0.34465602)),PySRFunction(X=>-x13 + (1.063026 - x11)*(x15 + 0.21378407)*(x3*(-0.00055063004) - (x12 + x12 + 0.34465602)))
21,0.0001820963,((((x15 + 0.21378407) * (1.063026 - x11)) * ((x3 * -0.00055063004) - (x12 + (x12 + 0.34465602)))) - x13) * 1.0200758,0.00035847293171052517,(-x13 + (1.063026 - x11)*(x15 + 0.21378407)*(x3*(-0.00055063004) - (x12 + x12 + 0.34465602)))*1.0200758,PySRFunction(X=>(-x13 + (1.063026 - x11)*(x15 + 0.21378407)*(x3*(-0.00055063004) - (x12 + x12 + 0.34465602)))*1.0200758)
22,0.00018153977,(log((-0.00050579285 * x3) + (x14 - ((0.33091068 + x12) + x12))) * ((x15 + 0.20178208) * (1.0016383 - x11))) - x15,0.0030609198615605517,-x15 + (1.0016383 - x11)*(x15 + 0.20178208)*log(-2*x12 + x14 - 0.00050579285*x3 - 0.33091068),PySRFunction(X=>-x15 + (1.0016383 - x11)*(x15 + 0.20178208)*log(-2*x12 + x14 - 0.00050579285*x3 - 0.33091068))
24,0.00018138233,((log(x14 + (((x16 + x3) * -0.00050579285) - (x12 + (x12 + 0.33091068)))) * (x15 + 0.20178208)) * (1.0016383 - x11)) - x15,0.0004338121317946046,-x15 + (1.0016383 - x11)*(x15 + 0.20178208)*log(-2*x12 + x14 - 0.00050579285*x16 - 0.00050579285*x3 - 0.33091068),PySRFunction(X=>-x15 + (1.0016383 - x11)*(x15 + 0.20178208)*log(-2*x12 + x14 - 0.00050579285*x16 - 0.00050579285*x3 - 0.33091068))
25,0.0001812361,(((x15 + 0.20178208) * (0.9998674 - x11)) * log((((x3 * -0.00050579285) + x14) + log(x14)) - (x12 + (0.33091068 + x12)))) - x15,0.0008065227568638865,-x15 + (0.9998674 - x11)*(x15 + 0.20178208)*log(-2*x12 + x14 - 0.00050579285*x3 + log(x14) - 0.33091068),PySRFunction(X=>-x15 + (0.9998674 - x11)*(x15 + 0.20178208)*log(-2*x12 + x14 - 0.00050579285*x3 + log(x14) - 0.33091068))
26,0.0001796318,((1.0341144 - x11) * ((x15 + 0.20178202) * (((x3 + (x5 * -0.40435708)) * -0.0006049416) + log(x14 - ((x12 + x12) + 0.33091044))))) - x15,0.008891400810375661,-x15 + (1.0341144 - x11)*(x15 + 0.20178202)*(-0.0006049416*x3 + 0.000244612418946528*x5 + log(-2*x12 + x14 - 0.33091044)),PySRFunction(X=>-x15 + (1.0341144 - x11)*(x15 + 0.20178202)*(-0.0006049416*x3 + 0.000244612418946528*x5 + log(-2*x12 + x14 - 0.33091044)))
28,0.00017907796,(((1.0079 - x11) * (x15 + 0.20178202)) * (((x3 + (x5 * -0.41783538)) * -0.0006049416) + log(x14 + (-0.0035988088 - ((x12 + x12) + 0.33091044))))) - x15,0.0015439792886998707,-x15 + (1.0079 - x11)*(x15 + 0.20178202)*(-0.0006049416*x3 + 0.000252766003313808*x5 + log(-2*x12 + x14 - 0.3345092488)),PySRFunction(X=>-x15 + (1.0079 - x11)*(x15 + 0.20178202)*(-0.0006049416*x3 + 0.000252766003313808*x5 + log(-2*x12 + x14 - 0.3345092488)))
30,0.00017879461,(((1.0079 - x11) * ((((x3 + (x5 * -0.5278524)) * -0.0006049416) + log(x14 - (x12 + (x12 + 0.33091044)))) * (x15 + 0.20178202))) + -0.0006049416) - (x15 * 0.9888706),0.0007917624399365113,-0.9888706*x15 + (1.0079 - x11)*(x15 + 0.20178202)*(-0.0006049416*x3 + 0.00031931987541984*x5 + log(-2*x12 + x14 - 0.33091044)) - 0.0006049416,PySRFunction(X=>-0.9888706*x15 + (1.0079 - x11)*(x15 + 0.20178202)*(-0.0006049416*x3 + 0.00031931987541984*x5 + log(-2*x12 + x14 - 0.33091044)) - 0.0006049416)
