Complexity,Loss,Equation
1,0.0051039634,"4.7602606e-9"
3,0.005023728,"(x3 * 1.6808626e-5)"
4,0.0049392115,"(square(x3) * 4.7602606e-9)"
5,0.0046830145,"((0.11849994 / x4) + -0.08553588)"
6,0.004540049,"((x0 * 0.00032924686) * square(x4))"
8,0.004309927,"((x0 * 0.00032924686) * (square(x4) - 1.6851848))"
9,0.003930411,"((x0 * 0.00032924686) * square(square(x4 - 0.4454226)))"
10,0.003650023,"(((x0 / 0.3655583) * 0.00032924686) * (square(x4) - 1.6851848))"
12,0.0036494774,"((((x0 - x4) / 0.3655583) * 0.00032924686) * (square(x4) - 1.6851848))"
